2,1,9,8,8,-2,-2,3
-2,-6,18,-5,-5,3,9,-10
4,0,-16,4,4,-5,-10,-5
-6,-18,-30,-7,-5,-1,12,4
2,11,11,1,0,1,-2,-3
4,-1,2,-3,1,1,-3,2
-1,19,30,10,1,1,3,-1
-8,-58,-64,-17,-5,-2,-5,-2
2,5,33,2,-1,-3,-8,0
6,38,20,5,0,4,3,2
-2,-15,7,2,-2,-2,2,-3
-2,22,3,1,3,-1,-15,-8
-7,-5,3,-4,-4,2,-5,-18
6,27,19,4,0,-8,-23,17
-11,-19,-12,-13,-7,-6,1,-17
1,2,6,3,1,1,4,0
2,-2,-2,6,3,7,5,16
7,-9,-73,-16,-6,-13,-7,-11
-7,23,95,-2,-1,3,1,-3
1,-9,-5,3,0,0,1,2
5,2,-15,-1,-2,0,4,13
2,6,20,5,3,-1,3,2
-3,-20,-49,-5,-1,1,5,-2
6,20,-29,-3,-2,-3,-17,-3
-9,-23,15,-9,-4,-3,-1,-7
-5,-3,-25,-5,-1,1,2,-10
-7,20,22,6,0,-3,-5,-8
5,-5,-2,9,4,4,4,12
-8,-5,-30,-9,-8,-7,-3,-7
-8,-23,10,-4,-2,-2,6,9
3,-8,25,2,-2,1,-3,-6
2,-18,-76,-2,-1,-2,-12,-26
-10,19,45,3,-2,8,11,-8
-2,-19,-17,-5,2,-16,-24,-7
9,10,-9,2,4,9,9,12
-3,5,-3,-2,0,-2,7,7
6,-7,-31,1,-4,0,-2,-3
3,22,18,2,1,5,4,-7
-10,-23,-13,2,1,-1,2,14
-6,-18,-26,-15,-11,-7,-3,-12
5,1,-12,5,6,1,-12,6
1,21,18,5,-4,1,4,3
9,15,18,0,-1,-1,4,5
-8,-14,-7,-6,1,3,9,4
2,12,38,0,-1,-4,8,10
4,-3,-31,-2,1,3,-3,-12
-6,-6,11,-1,-4,-2,-7,4
-8,-16,32,-4,-3,-5,-11,-23
2,4,-30,1,3,2,-1,4
2,-1,19,4,3,2,4,2
12,22,-2,9,4,0,2,6
-6,-5,42,-8,-4,-2,-3,4
-3,-11,-35,-10,-3,-13,-11,2
-5,-12,-13,-1,-3,4,8,-3
6,9,-19,7,5,0,-2,-2
-5,12,34,-2,2,4,-9,-5
-1,-14,-21,-1,-3,-6,-6,-6
-10,-5,0,0,-2,2,19,13
4,-5,15,-10,-6,-6,-16,-18
-5,-16,-19,-2,0,10,6,22
3,15,34,4,1,-8,2,5
-7,-12,-12,-4,-5,-5,-1,-6
-7,-14,-26,-2,-2,1,-1,0
11,5,-1,9,5,-3,-5,6
2,8,36,-4,-2,2,1,7
-3,-4,-15,0,2,-3,3,-17
1,-4,-17,-4,-1,1,-2,-22
1,7,10,-6,-6,-3,-4,8
