11,-2,4,32,11,-4,7,6
5,-1,2,-4,0,13,-8,-1
-12,3,-5,-39,-31,-12,-7,-9
7,-3,2,45,46,11,4,6
27,-6,0,1,3,1,1,6
-34,-5,-7,-51,-19,-11,-1,-7
7,-3,-3,3,-10,1,5,4
8,12,11,22,-13,-3,-11,-9
-43,-10,1,28,23,4,0,-6
10,2,-3,-4,1,0,0,1
3,-7,-7,23,18,3,-1,1
12,4,-1,-22,-7,-1,8,8
1,5,-8,-28,-12,-3,11,1
-2,5,9,17,1,-5,-16,-9
11,-3,1,10,4,-3,-3,-1
-10,-5,0,3,5,1,6,1
-12,3,1,-2,-1,0,-2,5
-13,-5,-4,-14,-4,0,3,-3
5,1,10,-6,-14,-2,5,2
1,-2,-3,7,23,3,-11,-7
-3,3,-4,-2,-10,0,-6,-10
-9,6,2,2,3,0,2,4
18,-4,-4,-12,-8,4,-7,5
17,2,5,24,16,-3,4,3
-20,-3,0,-15,0,2,-7,-8
-13,-22,-11,-18,-29,-8,0,-4
-10,4,12,79,56,10,12,-1
-10,-8,-5,-17,-5,2,-2,-4
5,3,-8,-43,-17,-7,-13,-5
10,0,4,30,-3,-5,-1,0
-14,-1,-10,-65,-16,-8,3,-3
18,5,-9,23,0,0,-3,5
17,7,18,-5,1,1,10,16
1,-5,4,37,6,-12,-2,0
-11,-10,-7,-30,-22,10,-7,-5
-5,5,3,11,10,3,16,-2
33,2,-10,-23,-14,-6,-14,-3
-47,-11,0,2,6,1,-2,-12
11,-5,-4,7,2,-5,7,8
-6,-7,-18,-36,-25,-9,-9,-2
-7,-4,0,22,-2,5,23,5
38,12,9,0,4,-4,-15,2
-9,-5,-8,-1,2,-2,-7,-6
-29,-4,12,-19,-11,0,8,2
0,8,-32,4,4,-3,5,-2
2,-2,-1,19,16,7,-5,-6
-10,3,-12,-20,-12,-6,-4,-4
16,2,3,10,2,0,-4,4
-12,-3,3,9,-1,-13,-6,-9
-3,1,3,-34,-15,15,5,1
15,14,14,-9,-3,-5,-5,1
-2,-4,14,18,-10,-6,-7,-4
-6,-9,-5,5,5,10,0,3
0,-10,-9,-64,-24,-8,9,-1
-13,-7,17,88,41,1,-12,-9
21,1,-1,-4,2,-3,0,4
-24,-6,5,-2,-2,1,-3,-3
-1,3,-5,-1,-5,-5,-1,0
