-9,22,68,-6,-10,4,-27,-5
1,0,0,7,4,-9,-8,-4
-6,-6,-1,-6,-6,-7,-1,-4
4,-5,12,3,8,14,14,5
1,-9,-17,-1,-10,0,4,3
-1,6,8,-6,0,-3,-5,-2
-6,-13,-38,-8,-7,-9,0,-5
5,7,-22,14,10,7,9,4
-5,17,33,4,1,3,17,-3
-5,15,-1,-12,-13,-12,-20,0
-3,-16,-24,-8,0,1,-14,-4
1,13,14,-2,-7,-12,-13,-7
4,-11,-46,6,7,22,3,1
0,-5,-14,-6,-6,6,10,0
-5,6,54,-5,-8,-12,13,1
4,3,-38,3,5,0,4,11
0,-24,-84,6,12,11,-11,-2
-4,13,17,-6,-6,-2,18,-2
-2,5,2,0,-1,-22,-20,-4
-2,3,33,-1,-12,15,10,1
2,-10,-26,-3,7,-12,-6,1
-1,-11,-37,11,17,11,5,1
-2,7,58,6,-3,4,1,1
-1,3,3,-8,-2,-11,-13,0
-3,4,5,0,-8,0,15,1
2,-2,-10,1,3,0,-31,-12
-1,4,7,-7,-1,4,-17,-3
-3,-5,-15,0,-5,-6,-2,-1
-3,-2,25,-14,-14,-4,1,-2
1,-3,13,6,10,0,16,4
-1,10,-3,0,1,7,0,-3
-1,-2,-13,-7,-2,-7,3,-1
1,-5,11,1,-7,-5,-7,1
-2,2,26,-1,-3,1,5,-2
1,-4,-17,3,3,2,4,2
2,17,38,3,1,1,1,-3
-3,-16,-6,-5,2,-3,-8,-3
-2,-11,-14,-11,-21,-2,-2,-3
-1,-6,-12,17,22,2,7,0
0,9,9,11,13,3,2,0
2,4,-11,5,2,-2,-8,1
0,5,31,-10,-14,-5,3,-3
-3,-7,-31,-16,-15,-4,2,-1
-4,-5,13,-7,-8,-4,-3,-4
-4,-20,-4,-6,-22,-5,-8,-4
-3,-7,-5,4,21,-1,1,0
1,0,-12,-1,-14,6,3,0
2,0,1,14,20,5,-1,2
-2,8,7,5,19,5,1,-1
1,-1,1,11,0,4,2,2
-1,-12,-13,1,-4,4,-2,-2
-3,1,2,-13,-17,-20,-5,-3
10,19,18,0,-1,-3,-1,4
-13,-6,-32,-11,-8,-2,0,-1
1,-15,-17,-8,-1,-3,-2,-3
