-13,9,6,4,1,-15,-4,-2
29,-12,-14,-2,0,6,8,6
-51,-7,-7,-9,-7,9,15,-12
26,3,0,4,10,13,6,13
0,-3,-2,1,-3,-9,-15,-12
-8,3,6,-5,-1,11,3,2
9,2,1,-2,-9,-37,-13,3
-13,-6,6,0,-1,15,6,-7
0,1,2,13,11,4,-1,-2
-1,4,-1,-7,-7,-4,-6,2
8,-3,-4,-8,-2,3,0,2
1,5,-3,-5,-15,-12,-2,-1
5,9,1,-8,-5,-4,-2,-1
-11,-6,0,3,0,-1,-3,-6
18,3,6,-14,-7,0,-1,0
-6,-3,-12,4,5,0,-6,-6
-31,-10,-9,-12,-14,-20,1,-12
4,1,2,8,11,8,4,6
5,6,3,1,1,10,-8,4
-5,-4,1,-7,-5,-11,-9,-2
3,-9,-8,-7,-4,7,10,2
-5,-6,3,-9,-6,-7,3,-5
8,0,-8,12,-9,-7,-11,2
-6,-11,0,2,5,-4,-3,-2
-6,-4,4,14,9,10,5,-16
9,7,-1,-2,0,-2,0,17
3,4,1,-4,2,1,4,8
-5,-1,9,9,0,-2,1,-7
-3,-5,-3,-13,-5,-1,-10,0
-1,-2,-6,-3,4,-3,1,-3
-1,-3,-8,6,5,1,-1,-1
-2,2,0,-2,1,-1,3,2
3,4,-6,-28,-15,-5,-5,-1
-1,5,13,43,4,-1,-3,-5
-3,-6,-4,-21,12,6,2,0
1,0,3,11,18,11,1,-1
5,-1,-21,-22,-16,-1,2,9
-6,-12,-8,6,23,1,-8,-16
-2,7,15,2,-9,-5,-3,-3
-2,-10,-2,7,-1,-2,14,21
7,-9,-5,-4,2,1,-21,-14
-2,6,-9,-13,-13,-4,-6,-23
12,1,-4,5,-2,-8,1,-6
11,7,-2,-16,-7,-6,-18,10
-7,1,21,29,2,2,15,3
9,-4,-16,-24,-7,-6,7,28
-6,-6,13,24,11,10,4,-12
-3,6,-6,-30,-15,-3,-4,-4
5,9,5,7,9,0,-2,1
-6,-13,-6,-2,-8,-8,-5,-8
-8,-4,13,-8,-6,-3,0,7
-2,-9,-19,2,-1,1,0,-4
-5,4,1,8,9,-2,4,0
-3,9,16,0,2,8,0,-2
-1,2,1,14,-3,-6,-5,0
2,-11,-10,-27,-16,-6,-1,-1
35,11,9,21,11,7,2,-2
-57,-19,3,10,-1,-9,-7,-6
-6,-10,-10,-12,-3,9,-1,0
6,1,6,11,6,6,9,1
-4,-5,-6,-12,-4,-5,-2,7
15,12,7,4,-7,1,-2,3
-11,-7,-11,-3,-4,-8,12,10
-2,-2,2,8,3,5,-17,2
-13,-2,1,0,2,3,-18,-26
21,1,0,-4,-4,-4,7,-7
-4,2,-15,-16,-3,-4,3,-3
0,7,13,-1,-6,-3,-2,-6
-14,-1,6,3,1,-2,1,3
-3,2,-5,-2,3,3,-6,-4
-1,2,-6,1,4,1,3,8
-5,-6,-3,6,7,4,-6,-10
11,3,-16,-8,-1,-2,-1,2
7,-6,16,11,-11,-5,-3,-4
-2,6,-17,-10,-6,-2,-2,-5
-4,9,2,2,3,-13,4,-1
-12,-18,-17,-11,-6,12,7,11
1,8,-6,-10,3,-2,-6,-1
1,-12,-3,4,-5,-2,-8,-5
4,-3,3,2,2,2,2,-7
-3,-13,-9,0,-7,-11,-2,-1
4,15,9,9,11,1,6,8
14,16,11,-5,-3,1,-12,-3
16,-5,-5,4,2,-3,7,-6
-41,-20,7,6,-1,-1,1,1
-4,-23,-9,-1,-5,2,-2,2
-6,0,3,-10,-11,-8,-1,-13
2,-3,-6,-7,-3,2,-4,17
11,14,6,6,5,-2,1,-1
0,4,-5,-10,-4,0,1,-4
2,1,1,-4,-3,-4,-6,7
1,7,5,18,6,4,-8,20
-2,10,2,1,1,0,12,-25
10,2,-10,-8,-3,-5,5,4
-1,-9,-2,3,6,14,-3,-5
-44,-11,11,29,12,-3,1,-15
14,-5,-15,-29,-8,2,-10,12
9,4,-4,-5,-1,-7,2,11
8,9,21,42,21,-2,-3,-5
-7,-1,4,-9,-3,0,2,-12
16,-4,-12,5,3,-6,0,-1
-14,1,11,-9,-4,4,7,6
-3,2,-4,-8,-6,-3,-1,-1
-3,-5,-14,-8,-4,0,0,-16
2,9,4,1,-1,-3,5,18
-1,4,-2,-5,-7,2,-11,-11
5,5,8,-1,1,0,2,0
-16,-4,-3,4,10,0,-7,-7
0,1,1,-5,-4,1,20,-3
12,6,-14,-9,-2,2,-4,17
-22,-19,-6,-21,-14,-8,3,6
24,8,15,23,3,10,2,-7
17,7,-7,13,18,5,1,3
-20,-16,1,17,7,-2,-16,-9
-13,-10,-32,-13,-2,0,-4,-12
1,-1,20,-23,-14,-8,12,27
-36,-1,-16,-18,-13,-7,-9,-36
38,5,-15,4,3,6,2,-8
5,0,25,-35,-13,-14,-6,7
10,2,-40,0,-15,0,7,-3
-6,-11,1,30,22,3,-7,7
6,15,16,-6,0,-3,3,2
-18,-23,-25,-23,-6,0,4,-10
17,7,33,-13,-42,-12,-3,2
-5,2,8,57,60,12,0,4
-13,-5,-20,-3,12,0,5,-5
22,9,-20,0,7,4,-3,35
11,14,40,8,6,6,-1,-10
-14,0,-19,-49,-42,-15,-5,1
-25,-25,21,4,-5,-6,-15,-19
17,-18,-12,14,5,3,15,16
-30,-30,-62,-12,12,2,-10,-24
21,22,27,-3,-11,-7,-6,8
11,25,51,8,10,15,10,2
7,30,-35,-18,-13,-8,-4,14
